Source,Target
Richard Farnworth,Anthony Pearson
Thomas Taylor,Christopher Taylor
John Penington,Mary Penington
Humphrey Woolrich,Mary Pennyman
William Penn,Tace Sowle
William Penn,James Claypoole
William Penn,Thomas Story
William Penn,Mary Penington
William Penn,David Lloyd
William Penn,Margaret Fell
William Penn,Richard Claridge
Richard Vickris,George Bishop
Robert Barclay,David Barclay of Ury
Jane Sowle,Tace Sowle
Margaret Fell,Alexander Parker
Margaret Fell,Elizabeth Leavens
Margaret Fell,Anthony Pearson
Elizabeth Leavens,Thomas Holme
Lewis Morris,Sir Charles Wager
Mary Penington,Thomas Curtis
Mary Penington,Thomas Ellwood
Thomas Curtis,Thomas Ellwood
Thomas Curtis,William Simpson
Thomas Curtis,John Story
Alexander Parker,Sir Charles Wager
John Story,Thomas Ellwood
Thomas Aldam,Anthony Pearson
Sir Charles Wager,James Nayler
Jane Sowle,Sir Charles Wager
John Penington,Sir Charles Wager
Solomon Eccles,Sir Charles Wager
Christopher Taylor,Thomas Aldam
John Bellers,Mary Fisher
John Bellers,Katharine Evans
Sarah Cheevers,John Rous
John Rous,Mary Pennyman
David Barclay,Mary Pennyman
Mary Pennyman,Katharine Evans
Mary Pennyman,John Bellers
Katharine Evans,John Wanton
Sarah Gibbons,Katharine Evans
Sarah Gibbons,David Barclay
George Bishop,David Barclay
George Bishop,Katharine Evans
George Bishop,Sarah Cheevers
Richard Vickris,Alexander Skene of Newtyle
Richard Vickris,Katharine Evans
David Barclay,Alexander Skene of Newtyle
Anne Conway Viscountess Conway and Killultagh,John Wanton
Lilias Skene,Sarah Gibbons
Fettiplace Bellers,Sarah Gibbons
Gilbert Latey,Sarah Gibbons
Fettiplace Bellers,Katharine Evans
Anne Conway Viscountess Conway and Killultagh,Mary Prince
Lilias Skene,Mary Prince
Lilias Skene,Edward Pyott
Thomas Taylor,Grace Chamber
Lydia Lancaster,Humphrey Norton
