courseID,shortTitle,deptCode,deptName,minCredit,academicLevel,instructMethod,EC: Clear Concise Writing,EC: Credibility/Persuasiveness,EC Public Presentation,EC: Thought Organization,TM: Punctuality,TM: Effective Task Completion,TM: Deadline Setting,L: Effective Communication,L:  Critical Thinking,L: Decision Making,L: Empathy,L: Strategic Thinking,TC: Effective Communication,TC: Delegation/Support,TC: Commitment,TC: Respect/Accountability,CPS: Clarification,CPS: Ideation,CPS: Solution Development,CPS: Implementation,R: Quantitative Analysis,R: Data Visualization,R: Resource Use,R: Effective Communication,AF: Effective Listening,AF: Emotional Intelligence,AF: Big Picture,AF: See Multiple Perspectives
TECH-492,InteRnship,TECH,Technology,3,UG,INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107,Chem EveRyday Life,CHEM,Chemistry,3,UG,LEC,,,,I,,I,I,,I,,,,,,,,I,I,I,,I,,,,I,,,
CHEM-119,IntRoductoRy ChemistRy,CHEM,Chemistry,4,UG,LEC,,,,I,,I,I,,I,,,,,,,,I,I,I,,I,,,,I,,,
CHEM-120,SuRvey of Health Chem,CHEM,Chemistry,3,UG,LEC,,,,,,I,I,,I,,,,,,,,I,I,I,,I,,,,I,,,
CHEM-121,SuRvey Hlth Chem Lab,CHEM,Chemistry,1,UG,LEC,I,,,I,I,I,I,I,I,I,,,I,I,,I,I,,I,I,I,,,I,I,,,
CHEM-151,Gen ChemistRy I,CHEM,Chemistry,4,UG,LEC,,,,I,I,I,,I,I,,,,I,,,,,I,I,,I,I,,I,,,,
CHEM-151L,Gen Chem I Lab,CHEM,Chemistry,0,UG,LAB,,R,,,R,M,R,R,R,I,,,R,,R,R,R,I,I,I,R,R,,R,,,,
CHEM-152,Gen ChemistRy I,CHEM,Chemistry,4,UG,LEC,,,,I,I,I,,I,I,,,,I,,,,,I,I,,I,I,,I,,,,
CHEM-152L,Gen Chem I Lab,CHEM,Chemistry,0,UG,LAB,,R,,,R,M,R,R,R,I,,,R,,R,R,R,I,I,I,R,R,,R,,,,
CHEM-205,TutoRing ChemistRy,CHEM,Chemistry,1,UG,LEC,I,,I,,,,,I,,,I,,I,,I,I,,,,,,,,I,I,I,,I
CHEM-311,ORganic Chem I,CHEM,Chemistry,4,UG,LEC,,,,I,I,R,,I,,,,,I,,,,,R,I,,,,,I,,,,
CHEM-311L,ORganic Chem I Lab,CHEM,Chemistry,0,UG,LAB,I,,,I,,M,R,I,,I,,,I,,,R,R,R,I,I,I,,I,I,,,,
CHEM-312,ORganic Chem I,CHEM,Chemistry,4,UG,LEC,,,,I,I,R,,I,,,,,I,,,,,R,I,,,,,I,,,,
CHEM-312L,ORganic Chem I Lab,CHEM,Chemistry,0,UG,LAB,I,,,I,,M,R,I,,I,,,I,,,R,R,R,I,I,I,,I,I,,,,
CHEM-315,Quantitative Analysis,CHEM,Chemistry,4,UG,LEC,,,,,,,,,R,,,,,,,,R,R,R,R,R,R,,,,,R,R
CHEM-315L,Quantitative Analysis Lab,CHEM,Chemistry,0,UG,LAB,R,R,,R,R,R,R,R,R,R,,,R,,,,R,R,R,R,R,,,R,,,,
CHEM-321,InstRumental Analysis,CHEM,Chemistry,4,UG,LEC,,,,,,,,,R,,,,,,,,R,R,R,R,R,R,,,,,R,R
CHEM-321L,InstRumental Analysis Lab,CHEM,Chemistry,0,UG,LAB,R,R,,R,R,R,R,R,R,R,,,R,R,R,R,R,R,R,R,R,R,,R,,,,
CHEM-361,BiochemistRy I,CHEM,Chemistry,4,UG,LEC,R,R,,,,R,R,R,R,,,,R,,,R,R,,I,,R,,,R,R,,,
CHEM-362,BiochemistRy I,CHEM,Chemistry,3,UG,LEC,R,R,R,R,,R,R,R,R,,,,R,R,R,R,R,,I,,R,R,,R,R,,,
CHEM-363,BiochemistRy Lab,CHEM,Chemistry,1,UG,LAB,R,R,R,R,R,R,R,R,R,R,,,R,R,R,R,R,,I,,R,R,,R,R,,,
CHEM-385,ChemistRy SeminaR,CHEM,Chemistry,1,UG,LEC,R,R,M,R,M,M,R,R,M,,,,R,,,,,,,,R,R,,R,M,,R,
CHEM-411,Physical Chem I,CHEM,Chemistry,4,UG,LEC,,R,,,M,M,R,R,M,,,,R,,,,R,,,,M,R,,R,,,R,
CHEM-411L,Physical ChemistRy I Lab,CHEM,Chemistry,0,UG,LAB,M,M,,M,M,M,R,M,M,R,,,M,I,R,R,M,,,,M,M,R,M,,,,
CHEM-415,Physical Chem I,CHEM,Chemistry,3,UG,LEC,,R,,,R,M,R,R,R,,,,R,,,,R,,,,R,R,,R,,,,
CHEM-425,Adv ORganic Chem,CHEM,Chemistry,3,UG,LEC,,,R,R,,,,R,R,,,,R,,,,R,R,,,,,,R,,,,
CHEM-435,InoRganic ChemistRy,CHEM,Chemistry,4,UG,LEC,R,,,R,R,,R,R,R,,,,R,,R,R,R,R,,,R,,R,R,,,,
CHEM-435L,InoRganic Chem Lab,CHEM,Chemistry,0,UG,LAB,R,,,R,R,R,,R,R,,,,R,,R,R,R,R,,R,R,R,R,R,,,,
CHEM-465,Topics In ChemistRy,CHEM,Chemistry,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-496,IntRo to ReseaRch,CHEM,Chemistry,1,UG,RSCH,M,M,M,M,M,M,R,M,M,,,,M,,,,M,R,R,R,M,M,M,M,,,,M
CHEM-498,ReseaRch in ChemistRy,CHEM,Chemistry,1,UG,RSCH,M,M,M,M,M,M,R,M,M,R,,,M,,,,M,R,R,R,M,M,M,M,M,,R,M
CPTE-300,ChRistian SeRvice Computing,CPTR,Computing,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTE-316,Application SoftwaRe SuppoRt,CPTR,Computing,3,UG,LEC,R,R,R,R,R,R,R,R,R,,R,R,,,,,R,R,R,R,,,,,R,R,R,
CPTE-433,NetwoRk AdministRation,CPTR,Computing,3,UG,LEC,M,M,M,M,R,R,R,M,M,M,R,M,R,,,,R,R,M,M,,R,,R,R,,M,
CPTE-440,PRog & ScRipt foR Admin,CPTR,Computing,3,UG,LEC,,,,,R,R,R,R,R,R,,,,,,,R,R,R,R,,,,,,,,
CPTE-465,Topics in ComputeR Technology,CPTR,Computing,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-108,#EssenceOfComputing,CPTR,Computing,3,UG,LEC,,,I,I,I,I,,I,,,,I,I,,,I,I,I,I,I,,,I,,I,,I,I
CPTR-108L,#EssenceOfComputing Lab,CPTR,Computing,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-124,Fund of PRogRamming,CPTR,Computing,4,UG,LEC,,,,,I,I,,,I,I,,,,,,,,I,I,I,,,,,,,,
CPTR-124L,Fund of PRogRam Lab,CPTR,Computing,0,UG,LAB,,,,I,I,I,,,I,I,,,,,,,,I,I,I,,,,,,,,
CPTR-212,Web PRogRamming,CPTR,Computing,3,UG,LEC,,,,,R,R,R,,,,I,,,,,,R,R,R,R,,R,,,,,,
CPTR-215,Fund of SoftwR Design,CPTR,Computing,4,UG,LEC,,,,,R,R,,,R,,,,,,,,R,R,R,R,,,,,R,R,R,R
CPTR-215L,Fund of Softw Design Lab,CPTR,Computing,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-230,Windows AdministRation,CPTR,Computing,3,UG,LEC,,,,,I,I,,,R,,,,,,,,I,I,I,I,I,I,I,I,,,,
CPTR-254,UNIX Systems Admin,CPTR,Computing,3,UG,LEC,,,,,,,,,,,,R,R,,,R,I,I,I,I,I,,,,,,,
CPTR-265,Topics in ComputeR Science,CPTR,Computing,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-292,Computing InteRnship,CPTR,Computing,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-302,SoftwaRe Dev Tools,CPTR,Computing,1,UG,LAB,R,,,,,R,R,,R,,,,,,,,R,R,R,R,R,,R,,,,,
CPTR-309,SoftwaRe EngineeRing,CPTR,Computing,3,UG,LEC,R,R,R,,,R,,,R,R,,R,,,,,R,,,R,,,,R,,,R,R
CPTR-318,Data StRuc & AlgoRithms,CPTR,Computing,3,UG,LEC,,,,R,R,R,,,R,R,,,,,,,,R,R,R,,,,,,,,
CPTR-319,Database Management Systems,CPTR,Computing,3,UG,LEC,,,,,R,R,,,,,,,,,,,R,R,R,R,,R,R,R,,,,
CPTR-328,PRin of NetwoRking,CPTR,Computing,3,UG,LEC,,,,,R,R,,,,,,,,,,,R,R,R,R,,R,R,R,,,,
CPTR-333,CptR ARchitectuRe & Design,CPTR,Computing,4,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-365,OpeRating Systems,CPTR,Computing,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-386,Technical WRiting in Computing,CPTR,Computing,1,UG,LEC,R,R,R,R,R,R,,R,R,,,,,,,,R,R,R,R,R,R,R,R,,,R,R
CPTR-405,ORg of PRogRam Lang,CPTR,Computing,3,UG,LEC,,,,,R,R,,,R,,,R,,,,,R,R,R,R,,,,,R,,R,R
CPTR-415,CompileR ConstRuction,CPTR,Computing,3,UG,LEC,,,,,M,M,,,M,M,,,,,,,,M,M,M,,,,,,,,
CPTR-418,ARtificial Intelligence,CPTR,Computing,3,UG,LEC,R,R,R,R,R,R,,,M,M,,,,,,,R,R,R,R,,,,,,,,
CPTR-425,ComputeR GRaphics,CPTR,Computing,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-427,NetwoRk SecuRity,CPTR,Computing,3,UG,LEC,,,,,M,M,,,R,R,R,R,,,,,R,R,R,R,R,,R,,,,R,R
CPTR-435,Mobile Appl Development,CPTR,Computing,3,UG,LEC,R,R,R,R,,R,,,,,,,,,,,R,R,R,R,,,,,,,,
CPTR-442,TheoRy of Computation,CPTR,Computing,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-444,Adv NetwoRk SecuRity,CPTR,Computing,3,UG,LEC,,,,,M,M,,,M,M,R,M,,,,,R,R,R,R,R,,M,,,,M,M
CPTR-446,Web SeRvices,CPTR,Computing,3,UG,LEC,,,,,M,M,,,,,,R,,,,,R,R,R,R,,,,,,,R,R
CPTR-454,CybeR FoRensics,CPTR,Computing,3,UG,LEC,,,,,M,M,,,M,,,M,,,,,M,M,M,M,M,M,M,,,,M,M
CPTR-456,Adv Web PRogRamming,CPTR,Computing,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-465,Topics in ComputeR Science,CPTR,Computing,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTR-486,SenioR SeminaR,CPTR,Computing,2,UG,LEC,M,M,M,M,M,,,,,,,,,,,,,,,,,,,,,,,
CPTR-488,SenioR PRoject,CPTR,Computing,2,UG,LAB,M,M,M,M,M,M,M,,,,,,M,M,M,M,M,M,M,M,,,,,M,,M,
CPTR-492,Computing InteRnship,CPTR,Computing,1,UG,INT,,,,,M,M,M,M,M,M,,,M,M,M,M,M,M,M,M,,,,,M,,,
EDUC-298,Tching WRtg 6-12 Educ,EDUC,Education,2,UG,LEC,R,R,R,R,I,I,I,I,I,R,I,I,I,R,R,R,R,I,I,R,R,R,,R,I,R,R,R
EDUC-301,ESL:Issues & TRends,EDUC,Education,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-423,Issues in Adolescence,EDUC,Education,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-129,IntRo & Fdns Elem Educ,EDUC,Education,3,UG,LEC,,I,,I,,I,I,I,I,,I,I,I,I,I,I,I,,,,,I,I,I,I,I,I,I
EDUC-317,Teaching With Technology,EDUC,Education,2,UG,LEC,I,R,,R,R,R,R,,R,,,,,,R,R,,,,R,,,,R,R,R,R,R
EDUC-338,Fnds Inclusive Educ,EDUC,Education,3,UG,LEC,,R,,R,,R,R,R,R,,,,,R,R,R,R,R,,R,R,R,,R,R,R,R,R
EDUC-338L,Fld Exp Fnds Incl Ed Lab,EDUC,Education,0,UG,LAB,,R,,R,,R,,,R,,,,,,R,R,R,R,,R,R,R,,R,R,R,R,R
EDUC-457,Elem Soc Studies Methods,EDUC,Education,2,UG,LEC,,R,,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R,R,R,R,R
EDUC-471,Enhanced St Tchg-Elem,EDUC,Education,10,UG,LEC,M,M,,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
EDUC-472,Enhanced St Tchg-Sec,EDUC,Education,10,UG,ST,M,M,,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
EDUC-473,Enhanced St Tchg K-12,EDUC,Education,10,UG,LEC,M,M,,M,M,M,M,M,M,M,,M,M,M,M,,,M,M,M,M,,M,M,M,M,M,M
EDUC-476,PRacticum: ESL,EDUC,Education,1,UG,LEC,,R,,R,,R,R,R,R,,,R,R,R,R,R,R,,,R,,R,R,R,R,R,R,R
EDUC-464,Teaching SeminaR,EDUC,Education,2,UG,LEC,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M
EDUC-102,Mathematical NumeRacy,EDUC,Education,3,UG,LEC,,,,I,,I,I,,,,,,,I,,,I,,,,,,,,,I,I,I
EDUC-138,IntRo & Fdns Sec Educ,EDUC,Education,3,UG,LEC,R,R,R,R,R,R,,,,I,,,,R,,,,,,,R,,,,,R,R,R
EDUC-322,Educ RsRch & Stats,EDUC,Education,3,UG,LEC,R,R,R,R,R,R,,,,R,,,,R,,R,R,,R,R,R,,,,,R,R,R
EDUC-327,Elem Math Methods,EDUC,Education,3,UG,LEC,,,R,R,R,R,R,,,R,,,R,R,,R,R,,R,R,R,,,,,R,R,R
EDUC-344,Sec Method & Assess,EDUC,Education,2,UG,LEC,,,R,R,R,R,,,,R,,,,R,,R,R,,R,R,R,,,,,R,R,R
EDUC-346,Field Exp SecondaRy Ed,EDUC,Education,0,UG,LEC,R,R,R,R,R,R,R,,,R,,,,R,,R,R,,R,R,R,,,,,R,R,R
EDUC-210,Tech Integ EaRly Child Educ,EDUC,Education,3,UG,LEC,R,I,,R,R,R,I,R,I,R,R,R,R,R,I,I,I,,,,,R,R,R,R,M,M,M
EDUC-210T,Tech Integ EaRly Child ClassRm,EDUC,Education,3,UG,LEC,R,I,,R,R,R,I,R,I,R,R,R,R,R,I,I,I,,,,,R,R,R,R,M,M,M
EDUC-302,ESL:StRategies & Meth,EDUC,Education,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M
EDUC-233,ChildRen's LiteRatuRe,EDUC,Education,3,UG,LEC,I,,I,I,I,I,I,R,I,R,I,R,R,I,I,I,I,I,,R,,R,I,I,R,R,M,R
EDUC-238,K-8 Bible Methods,EDUC,Education,3,UG,LEC,I,,R,R,I,R,I,R,I,R,R,R,R,I,I,I,I,,,R,,R,I,I,R,R,M,R
EDUC-243,Fnds Elem LiteRacy,EDUC,Education,2,UG,LEC,R,I,R,R,R,R,R,R,I,R,R,R,R,I,R,I,I,,,R,,R,R,I,R,M,M,M
EDUC-324,Elem Lang ARts Methods,EDUC,Education,3,UG,LEC,M,M,M,M,M,M,M,M,R,M,M,M,M,M,M,R,M,R,,M,,M,M,R,M,M,M,M
EDUC-339,PRin & Meth Tchg Rdg,EDUC,Education,3,UG,LEC,M,M,M,M,M,M,M,M,R,M,M,M,M,M,M,R,M,R,,M,,M,M,R,M,M,M,M
EDUC-448,Response to InteRvention,EDUC,Education,2,UG,LEC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,R,,M,M,M,M,M,,M,M,M
EDUC-201,TeacheR Educ Candidacy,EDUC,Education,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-331,Educ TheoRy & Assessment,EDUC,Education,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-345,Sec LRn TheoRy & Class Mgt,EDUC,Education,2,UG,LEC,R,R,R,R,R,R,R,R,I,I,I,R,R,I,R,R,I,,,R,R,R,R,R,R,M,R,M
EDUC-421,BehavioR Mgmt--ElementaRy,EDUC,Education,2,UG,LEC,R,R,R,R,R,R,R,R,I,I,I,R,R,I,R,R,I,,,R,R,R,R,R,R,M,R,M
EDUC-434,Rdg & Wtg Content AReas,EDUC,Education,2,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,I,I,I,R,I,I,I,I,R,R,R,R,R,R,M,R,M
EDUC-454,Elem Sci & Hlth Methods,EDUC,Education,2,UG,LEC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,R,R,R,R,M,M,M,M,M,M,M
EDUC-419,Phil & LdR ChRistn Ed,EDUC,Education,3,UG,LEC,M,M,R,M,R,R,I,R,I,M,,,,,,,,,,,,,,,,M,M,M
EDUC-342,CuRR & Content Meth-Sec,EDUC,Education,2,UG,LEC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,R,R,R,R,M,M,M,M,M,M,M
EDUC-475,Wkshop in Educ (Methodology),EDUC,Education,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-485,Wksp in Education (Content),EDUC,Education,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-485T,WoRkshop in Education,EDUC,Education,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-242,Elem NumeRacy Concepts,EDUC,Education,2,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-303,PRofessional SeminaR,EDUC,Education,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-341,Gen Meth & Assessment,EDUC,Education,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-341L,Fld Exp:Gen Meth & Assessment,EDUC,Education,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-343,LeaRn TheoR & ClassRm Mgt,EDUC,Education,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-343L,Fld Exp:LRn TheoR/ClassRm Mgt,EDUC,Education,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUC-305,PRimaRy LiteRacy,EDUC,Education,3,UG,LEC,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,I,I,R,R,R,R,R,R,M,M,M
EESL-127,GRam Engl Lang LeaRn I,ENGL,English,3,UG,LEC,I,I,I,,I,I,I,I,I,,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-128,GRam Engl Lang LeaRn 2,ENGL,English,3,UG,LEC,I,I,I,,I,I,I,I,I,,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-137,WRtg Engl Lang LeaRn I,ENGL,English,3,UG,LEC,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-138,WRtg Engl Lang LeaRn 2,ENGL,English,3,UG,LEC,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-147,Rdg & CRit Think Acad I,ENGL,English,3,UG,LEC,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-148,Rdg & CRit Think Acad 2,ENGL,English,3,UG,LEC,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-157,ORal Skills Academic I,ENGL,English,3,UG,LEC,,I,I,,I,I,I,I,I,,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-158,ORal Skills Academic 2,ENGL,English,3,UG,LEC,,I,I,,I,I,I,I,I,,I,I,I,I,I,I,I,I,I,I,,,I,I,I,I,I,I
EESL-195,DiRected Study,ENGL,English,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIT-175,TRansfoRmative Texts,ENGL,English,3,UG,LEC,I,I,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,,I,I,I,I,I,I
ELIT-214,SuRvey AmeR Lit,ENGL,English,3,UG,LEC,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-215,SuRvey Engl Lit,ENGL,English,3,UG,LEC,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-216,AppRoaches to Lit,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-265,Topics in LiteRatuRe,ENGL,English,1,UG,LEC,,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-309,Readings in English,ENGL,English,1,UG,LEC,,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-323,AmeR Class 19th CentuRy,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-332,Studies Medieval Lit,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-333,Poets & Engl Renaissance,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-335,Bible As LiteRatuRe,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-337,BRitish Class 19th Cent,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-338,20th CentuRy WRiteRs,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-340,C.S. Lewis,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-342,AfRican AmeRican Lit,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-346,ShakespeaRe,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-417,InteRcultuRal Contexts,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-425,Lit of the South,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-430,LibRaRy Mat Young Adults,ENGL,English,2,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-444,BRitish Class 18th Cent Lit,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-445,Ancient Classics,ENGL,English,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-450,You/Me/We:Contemp Lit,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-463,LiteRaRy CRiticism,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-465,Topics in LiteRatuRe,ENGL,English,1,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-468,Milton SeminaR,ENGL,English,3,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ELIT-490,SenioR Capstone,ENGL,English,1,UG,LEC,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,I,M,R,R,R,M,M
ENGL-100,Fund CRit Think Rdg/WRtg,ENGL,English,3,UG,LEC,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,,I,I,I,I,I,I
ENGL-101,CRit Think Ac Rdg/WRtg I,ENGL,English,3,UG,LEC,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
ENGL-102,CRit Think Ac Rdg/WRtg I,ENGL,English,3,UG,LEC,R,R,R,R,I,I,I,R,R,R,I,I,I,I,I,I,I,I,I,R,I,I,R,I,I,I,I,I
ENGL-103,H:CRit Think Ac Rdg/WRtg I,ENGL,English,3,UG,LEC,R,R,R,R,I,I,I,R,R,R,I,I,I,I,I,I,I,I,I,R,I,I,R,I,I,I,I,I
ENGL-106,H:CRit Think Ac Rdg/WRtg I,ENGL,English,1,UG,LEC,R,R,R,R,I,I,I,R,R,R,I,I,I,I,I,I,I,I,I,R,I,I,R,I,I,I,I,I
ENGL-109,Reading foR CompRehension,ENGL,English,1,UG,LEC,,,,I,I,,I,I,I,,I,I,,,,,,I,,I,,,I,,,,,
ENGL-132,PRogRammed GRammaR Study,ENGL,English,1,UG,LEC,,,,,I,,I,I,,,,,,,,,,,,,,,,,,,,
ENGL-150,Engl MajoR Qualification,ENGL,English,0,UG,LEC,,,,,I,,I,I,,,I,I,,,,,,I,,I,,I,,,,,,
ENGL-200,ChRistian SeRvice Engl,ENGL,English,0,UG,LEC,,,,,R,R,R,R,,R,R,I,I,I,I,I,I,I,I,I,I,,R,I,I,I,I,I
ENGL-202,GRammaR & Consequences,ENGL,English,3,UG,LEC,I,I,,,I,,,I,I,,R,I,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ENGL-209,Tchg Engl in Community,ENGL,English,1,UG,LEC,,,I,,I,,R,R,I,R,R,I,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ENGL-210,Engl Conv/Study TouR,ENGL,English,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-220,CReative WRt:Tools of CRaft,ENGL,English,3,UG,LEC,I,,,I,R,R,R,R,I,R,R,I,I,I,I,I,I,R,I,R,I,,R,I,I,I,I,I
ENGL-265,Topics in English,ENGL,English,1,UG,LEC,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
ENGL-300,ChRistian SeRvice English,ENGL,English,0,UG,LEC,,,,,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ENGL-301,ESL:Issues and TRends,ENGL,English,3,UG,LEC,R,R,,R,,,,R,R,,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ENGL-302,ESL:StRategies & Meth,ENGL,English,3,UG,LEC,R,R,,R,,,,R,R,,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ENGL-306,CReative WRtg:Lit Nonfiction,ENGL,English,3,UG,LEC,R,,,R,R,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
ENGL-307,CReative WRiting:Fiction,ENGL,English,3,UG,LEC,R,,,R,R,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
